Date,Site Code,Collection,Mooring Code,Sampling Interval,SFLA_count,SFLA_settlement_rate
6/18/13,CF,02,CF06,12,0,0
6/18/13,CF,03,CF04,12,0,0
6/18/13,CF,04,CF05,12,0,0
7/2/13,OR,01,OR05,15,0,0
7/2/13,OR,02,OR01,15,0,0
7/2/13,OR,03,OR02,15,0,0
7/2/13,OR,04,OR06,15,0,0
7/2/13,CF,01,CF05,15,0,0
7/2/13,CF,02,CF04,15,0,0
7/2/13,CF,03,CF03,15,0,0
7/2/13,CF,04,CF06,15,0,0
7/17/13,OR,01,OR06,15,0,0
7/17/13,OR,02,OR02,15,0,0
7/17/13,OR,03,OR01,15,0,0
7/17/13,OR,04,OR05,15,0,0
7/17/13,CF,01,CF03,15,0,0
7/17/13,CF,02,CF06,15,0,0
7/17/13,CF,03,CF04,15,1,0.066666667
7/17/13,CF,04,CF05,15,0,0
7/30/13,OR,01,OR06,13,0,0
7/30/13,OR,02,OR02,13,0,0
7/30/13,OR,03,OR01,13,0,0
7/30/13,OR,04,OR05,13,0,0
7/30/13,CF,01,CF03,13,0,0
7/30/13,CF,02,CF06,13,0,0
7/30/13,CF,03,CF04,13,0,0
7/30/13,CF,04,CF05,13,0,0
8/14/13,OR,01,OR06,15,0,0
8/14/13,OR,02,OR02,15,0,0
8/14/13,OR,03,OR01,15,0,0
8/14/13,OR,04,OR05,15,0,0
8/14/13,CF,01,CF03,15,0,0
8/14/13,CF,02,CF06,15,0,0
8/14/13,CF,03,CF04,15,0,0
8/14/13,CF,04,CF05,15,0,0
8/27/13,OR,01,OR06,13,0,0
8/27/13,OR,02,OR02,13,0,0
8/27/13,OR,03,OR01,13,0,0
8/27/13,OR,04,OR05,13,0,0
8/27/13,CF,01,CF03,13,0,0
8/27/13,CF,02,CF04,13,0,0
8/27/13,CF,03,CF05,13,0,0
9/11/13,OR,01,OR05,15,0,0
9/11/13,OR,02,OR01,15,0,0
9/11/13,OR,03,OR02,15,0,0
9/11/13,OR,04,OR06,15,0,0
9/11/13,CF,01,CF05,15,0,0
9/11/13,CF,02,CF04,15,0,0
9/11/13,CF,03,CF03,15,0,0
5/28/14,OR,01,OR02,14,2,0.142857143
5/28/14,OR,02,OR01,14,0,0
5/28/14,OR,03,OR05,14,2,0.142857143
5/28/14,OR,04,OR07,14,0,0
5/28/14,CF,01,CF03,14,1,0.071428571
5/28/14,CF,02,CF06,14,0,0
5/28/14,CF,03,CF04,14,1,0.071428571
5/28/14,CF,04,CF05,14,0,0
6/10/14,OR,01,OR07,16,0,0
6/10/14,OR,02,OR05,16,0,0
6/10/14,OR,03,OR01,16,1,0.0625
6/10/14,OR,04,OR02,16,0,0
6/10/14,CF,01,CF05,16,0,0
6/10/14,CF,02,CF04,16,0,0
6/10/14,CF,03,CF06,16,1,0.0625
6/10/14,CF,04,CF03,16,0,0
6/25/14,OR,01,OR07,15,2,0.133333333
6/25/14,OR,02,OR05,15,0,0
6/25/14,OR,03,OR01,15,4,0.266666667
6/25/14,OR,04,OR02,15,1,0.066666667
6/25/14,CF,01,CF05,15,2,0.133333333
6/25/14,CF,02,CF04,15,3,0.2
6/25/14,CF,03,CF06,15,3,0.2
6/25/14,CF,04,CF03,15,2,0.133333333
7/8/14,OR,01,OR02,13,0,0
7/8/14,OR,02,OR01,13,0,0
7/8/14,OR,03,OR05,13,0,0
7/8/14,OR,04,OR07,13,0,0
7/8/14,CF,01,CF03,13,0,0
7/8/14,CF,02,CF06,13,0,0
7/8/14,CF,03,CF04,13,0,0
7/8/14,CF,04,CF05,13,0,0
7/22/14,OR,01,OR02,14,0,0
7/22/14,OR,02,OR01,14,0,0
7/22/14,OR,03,OR05,14,0,0
7/22/14,OR,04,OR07,14,0,0
7/22/14,CF,01,CF03,14,0,0
7/22/14,CF,02,CF06,14,0,0
7/22/14,CF,03,CF04,14,0,0
7/22/14,CF,04,CF05,14,0,0
8/5/14,OR,01,OR07,14,0,0
8/5/14,OR,02,OR05,14,0,0
8/5/14,OR,03,OR01,14,0,0
8/5/14,OR,04,OR02,14,0,0
8/5/14,CF,01,CF05,14,0,0
8/5/14,CF,02,CF04,14,0,0
8/5/14,CF,03,CF06,14,0,0
8/5/14,CF,04,CF03,14,0,0
8/22/14,OR,01,OR02,17,0,0
8/22/14,OR,02,OR01,17,0,0
8/22/14,OR,03,OR05,17,0,0
8/22/14,OR,04,OR07,17,0,0
8/22/14,CF,01,CF03,17,0,0
8/22/14,CF,02,CF06,17,0,0
8/22/14,CF,03,CF04,17,0,0
8/22/14,CF,04,CF05,17,0,0
9/10/14,OR,01,OR02,19,0,0
9/10/14,OR,02,OR01,19,0,0
9/10/14,OR,03,OR05,19,0,0
9/10/14,OR,04,OR07,19,0,0
9/10/14,CF,01,CF03,19,0,0
9/10/14,CF,02,CF06,19,0,0
9/10/14,CF,03,CF04,19,0,0
9/10/14,CF,04,CF05,19,0,0
4/23/15,OR,01,OR07,16,0,0
4/23/15,OR,02,OR05,16,0,0
4/23/15,OR,03,OR01,16,0,0
4/23/15,OR,04,OR02,16,0,0
4/23/15,CF,01,CF05,16,0,0
4/23/15,CF,02,CF04,16,0,0
4/23/15,CF,03,CF06,16,0,0
4/23/15,CF,04,CF03,16,0,0
5/4/15,OR,01,OR07,11,0,0
5/4/15,OR,02,OR05,11,0,0
5/4/15,OR,03,OR01,11,0,0
5/4/15,OR,04,OR02,11,0,0
5/4/15,CF,01,CF05,11,0,0
5/4/15,CF,02,CF04,11,0,0
5/4/15,CF,03,CF06,11,0,0
5/4/15,CF,04,CF03,11,0,0
5/18/15,OR,01,OR07,14,0,0
5/18/15,OR,02,OR05,14,0,0
5/18/15,OR,03,OR01,14,0,0
5/18/15,OR,04,OR02,14,0,0
5/18/15,CF,01,CF05,14,0,0
5/18/15,CF,02,CF04,14,0,0
5/18/15,CF,03,CF06,14,0,0
5/18/15,CF,04,CF03,14,0,0
6/1/15,OR,01,OR07,14,0,0
6/1/15,OR,02,OR05,14,1,0.071428571
6/1/15,OR,03,OR01,14,0,0
6/1/15,OR,04,OR02,14,0,0
6/1/15,CF,01,CF05,14,0,0
6/1/15,CF,02,CF04,14,0,0
6/1/15,CF,03,CF06,14,0,0
6/1/15,CF,04,CF03,14,1,0.071428571
6/15/15,OR,01,OR02,14,0,0
6/15/15,OR,02,OR01,14,0,0
6/15/15,OR,03,OR05,14,0,0
6/15/15,OR,04,OR07,14,0,0
6/15/15,CF,01,CF03,14,0,0
6/15/15,CF,02,CF06,14,0,0
6/15/15,CF,03,CF04,14,0,0
6/15/15,CF,04,CF05,14,0,0
6/29/15,OR,01,OR02,14,0,0
6/29/15,OR,02,OR01,14,0,0
6/29/15,OR,03,OR05,14,0,0
6/29/15,OR,04,OR07,14,0,0
6/29/15,CF,01,CF03,14,0,0
6/29/15,CF,02,CF06,14,0,0
6/29/15,CF,03,CF04,14,0,0
6/29/15,CF,04,CF05,14,0,0
7/13/15,OR,01,OR07,14,0,0
7/13/15,OR,02,OR05,14,0,0
7/13/15,OR,03,OR01,14,0,0
7/13/15,OR,04,OR02,14,0,0
7/13/15,CF,01,CF05,14,0,0
7/13/15,CF,02,CF04,14,0,0
7/13/15,CF,03,CF06,14,0,0
7/13/15,CF,04,CF03,14,0,0
7/27/15,OR,01,OR02,14,0,0
7/27/15,OR,02,OR01,14,0,0
7/27/15,OR,03,OR05,14,0,0
7/27/15,OR,04,OR07,14,0,0
7/27/15,CF,01,CF03,14,0,0
7/27/15,CF,02,CF06,14,0,0
7/27/15,CF,03,CF04,14,0,0
7/27/15,CF,04,CF05,14,0,0
8/10/15,OR,01,OR02,14,0,0
8/10/15,OR,02,OR01,14,0,0
8/10/15,OR,03,OR05,14,0,0
8/10/15,OR,04,OR07,14,0,0
8/10/15,CF,01,CF03,14,0,0
8/10/15,CF,02,CF06,14,0,0
8/10/15,CF,03,CF04,14,0,0
8/10/15,CF,04,CF05,14,0,0
8/25/15,OR,01,OR07,15,0,0
8/25/15,OR,02,OR05,15,0,0
8/25/15,OR,03,OR01,15,0,0
8/25/15,OR,04,OR02,15,0,0
8/25/15,CF,01,CF05,15,0,0
8/25/15,CF,02,CF04,15,0,0
8/25/15,CF,03,CF06,15,0,0
8/25/15,CF,04,CF03,15,0,0
9/11/15,OR,01,OR02,17,0,0
9/11/15,OR,02,OR01,17,0,0
9/11/15,OR,03,OR05,17,0,0
9/11/15,OR,04,OR07,17,0,0
9/11/15,CF,01,CF03,17,0,0
9/11/15,CF,02,CF06,17,0,0
9/11/15,CF,03,CF04,17,0,0
9/11/15,CF,04,CF05,17,0,0
5/3/16,OR,01,OR02,13,0,0
5/4/16,OR,02,OR01,13,0,0
5/5/16,OR,03,OR05,13,0,0
5/6/16,OR,04,OR07,13,0,0
5/7/16,CF,01,CF03,13,0,0
5/8/16,CF,02,CF06,13,0,0
5/9/16,CF,03,CF04,13,0,0
5/3/16,CF,04,CF05,13,0,0
5/17/16,OR,01,OR02,14,0,0
5/17/16,OR,02,OR01,14,0,0
5/17/16,OR,03,OR05,14,0,0
5/17/16,OR,04,OR07,14,2,0.142857143
5/17/16,CF,01,CF03,14,0,0
5/17/16,CF,02,CF06,14,0,0
5/17/16,CF,03,CF04,14,0,0
5/17/16,CF,04,CF05,14,2,0.142857143
6/1/16,OR,01,OR02,15,6,0.4
6/1/16,OR,02,OR01,15,0,0
6/1/16,OR,03,OR05,15,3,0.2
6/1/16,OR,04,OR07,15,8,0.533333333
6/1/16,CF,01,CF03,15,3,0.2
6/1/16,CF,02,CF06,15,0,0
6/1/16,CF,03,CF04,15,9,0.6
6/1/16,CF,04,CF05,15,2,0.133333333
6/16/16,OR,01,OR07,14,0,0
6/16/16,OR,02,OR05,14,0,0
6/16/16,OR,03,OR01,14,1,0.071428571
6/16/16,OR,04,OR02,14,0,0
6/16/16,CF,01,CF05,14,1,0.071428571
6/16/16,CF,02,CF04,14,0,0
6/16/16,CF,03,CF06,14,0,0
6/16/16,CF,04,CF03,14,0,0
6/29/16,OR,01,OR02,13,4,0.307692308
6/29/16,OR,02,OR01,13,3,0.230769231
6/29/16,OR,03,OR05,13,7,0.538461538
6/29/16,OR,04,OR07,13,2,0.153846154
6/29/16,CF,01,CF03,13,0,0
6/29/16,CF,02,CF06,13,0,0
6/29/16,CF,03,CF04,13,12,0.923076923
6/29/16,CF,04,CF05,13,0,0
7/13/16,OR,01,OR02,14,0,0
7/13/16,OR,02,OR01,14,0,0
7/13/16,OR,03,OR05,14,0,0
7/13/16,OR,04,OR07,14,0,0
7/13/16,CF,01,CF03,14,0,0
7/13/16,CF,02,CF06,14,0,0
7/13/16,CF,03,CF04,14,0,0
7/13/16,CF,04,CF05,14,0,0
7/26/16,OR,01,OR02,13,0,0
7/26/16,OR,02,OR01,13,0,0
7/26/16,OR,03,OR05,13,0,0
7/26/16,OR,04,OR07,13,0,0
7/26/16,CF,01,CF03,13,0,0
7/26/16,CF,02,CF06,13,0,0
7/26/16,CF,03,CF04,13,0,0
7/26/16,CF,04,CF05,13,0,0
8/10/16,OR,01,OR02,15,0,0
8/10/16,OR,02,OR01,15,0,0
8/10/16,OR,03,OR05,15,0,0
8/10/16,OR,04,OR07,15,0,0
8/10/16,CF,01,CF03,15,0,0
8/10/16,CF,02,CF06,15,0,0
8/10/16,CF,03,CF04,15,0,0
8/10/16,CF,04,CF05,15,0,0
8/23/16,OR,01,OR02,13,0,0
8/23/16,OR,02,OR01,13,0,0
8/23/16,OR,03,OR05,13,0,0
8/23/16,OR,04,OR07,13,0,0
8/23/16,CF,01,CF03,13,0,0
8/23/16,CF,02,CF06,13,0,0
8/23/16,CF,03,CF04,13,0,0
8/23/16,CF,04,CF05,13,0,0
9/7/16,OR,01,OR02,14,0,0
9/7/16,OR,02,OR01,14,0,0
9/7/16,OR,03,OR05,14,0,0
9/7/16,OR,04,OR07,14,0,0
9/7/16,CF,01,CF03,14,0,0
9/7/16,CF,02,CF06,14,0,0
9/7/16,CF,03,CF04,14,0,0
9/7/16,CF,04,CF05,14,0,0
9/22/16,OR,01,OR02,15,0,0
9/22/16,OR,02,OR01,15,0,0
9/22/16,OR,03,OR05,15,0,0
9/22/16,OR,04,OR07,15,0,0
9/22/16,CF,01,CF03,15,0,0
9/22/16,CF,02,CF06,15,0,0
9/22/16,CF,03,CF04,15,0,0
9/22/16,CF,04,CF05,15,0,0
4/17/17,OR,01,OR05,13,0,0
4/17/17,OR,02,OR01,13,0,0
4/17/17,OR,03,OR02,13,0,0
4/17/17,OR,04,OR07,13,0,0
4/17/17,CF,01,CF05,13,0,0
4/17/17,CF,02,CF04,13,0,0
4/17/17,CF,03,CF06,13,0,0
4/17/17,CF,04,CF03,13,0,0
5/3/17,OR,01,OR01,16,0,0
5/3/17,OR,02,OR05,16,0,0
5/3/17,OR,03,OR07,16,0,0
5/3/17,OR,04,OR02,16,0,0
5/3/17,CF,01,CF04,16,0,0
5/3/17,CF,02,CF06,16,0,0
5/3/17,CF,03,CF03,16,0,0
5/3/17,CF,04,CF05,16,0,0
5/18/17,OR,01,OR01,15,0,0
5/18/17,OR,02,OR05,15,0,0
5/18/17,OR,03,OR07,15,0,0
5/18/17,OR,04,OR02,15,0,0
5/18/17,CF,01,CF03,15,0,0
5/18/17,CF,02,CF06,15,0,0
5/18/17,CF,03,CF04,15,0,0
5/18/17,CF,04,CF05,15,0,0
6/1/17,OR,01,OR07,14,0,0
6/1/17,OR,02,OR05,14,0,0
6/1/17,OR,03,OR01,14,0,0
6/1/17,OR,04,OR02,14,0,0
6/1/17,CF,01,CF05,14,0,0
6/1/17,CF,02,CF04,14,2,0.142857143
6/1/17,CF,03,CF06,14,1,0.071428571
6/1/17,CF,04,CF03,14,0,0
6/14/17,OR,01,OR07,13,1,0.076923077
6/14/17,OR,02,OR05,13,0,0
6/14/17,OR,03,OR01,13,0,0
6/14/17,OR,04,OR02,13,0,0
6/14/17,CF,01,CF05,13,0,0
6/14/17,CF,02,CF04,13,1,0.076923077
6/14/17,CF,03,CF06,13,0,0
6/14/17,CF,04,CF03,13,1,0.076923077
6/27/17,OR,01,OR02,13,2,0.153846154
6/27/17,OR,02,OR01,13,0,0
6/27/17,OR,03,OR05,13,1,0.076923077
6/27/17,OR,04,OR07,13,0,0
6/27/17,CF,01,CF03,13,0,0
6/27/17,CF,02,CF06,13,0,0
6/27/17,CF,03,CF04,13,0,0
6/27/17,CF,04,CF05,13,1,0.076923077
7/13/17,OR,01,OR02,16,0,0
7/13/17,OR,02,OR01,16,0,0
7/13/17,OR,03,OR05,16,0,0
7/13/17,OR,04,OR07,16,0,0
7/13/17,CF,01,CF03,16,0,0
7/13/17,CF,02,CF06,16,0,0
7/13/17,CF,03,CF04,16,0,0
7/13/17,CF,04,CF05,16,0,0
7/26/17,OR,01,OR02,13,0,0
7/26/17,OR,02,OR01,13,0,0
7/26/17,OR,03,OR05,13,0,0
7/26/17,OR,04,OR07,13,0,0
7/26/17,CF,01,CF03,13,0,0
7/26/17,CF,02,CF06,13,0,0
7/26/17,CF,03,CF04,13,0,0
7/26/17,CF,04,CF05,13,0,0
8/9/17,OR,01,OR02,14,0,0
8/9/17,OR,02,OR01,14,0,0
8/9/17,OR,03,OR05,14,0,0
8/9/17,OR,04,OR07,14,0,0
8/9/17,CF,01,CF03,14,0,0
8/9/17,CF,02,CF06,14,0,0
8/9/17,CF,03,CF04,14,0,0
8/9/17,CF,04,CF05,14,0,0
8/23/17,OR,01,OR02,14,0,0
8/23/17,OR,02,OR01,14,0,0
8/23/17,OR,03,OR05,14,0,0
8/23/17,OR,04,OR07,14,0,0
8/23/17,CF,01,CF03,14,0,0
8/23/17,CF,02,CF06,14,0,0
8/23/17,CF,04,CF05,14,0,0
9/5/17,OR,01,OR02,13,0,0
9/5/17,OR,02,OR01,13,0,0
9/5/17,OR,03,OR05,13,0,0
9/5/17,OR,04,OR07,13,0,0
9/5/17,CF,01,CF03,13,0,0
9/5/17,CF,02,CF06,13,0,0
9/5/17,CF,03,CF04,13,0,0
9/5/17,CF,04,CF05,13,0,0
9/15/17,OR,01,OR02,10,0,0
9/15/17,OR,02,OR01,10,0,0
9/15/17,OR,03,OR05,10,0,0
9/15/17,OR,04,OR07,10,0,0
9/15/17,CF,01,CF03,10,0,0
9/15/17,CF,02,CF06,10,0,0
9/15/17,CF,03,CF04,10,0,0
9/15/17,CF,04,CF05,10,0,0
5/3/18,OR,01,OR02,13,0,0
5/3/18,OR,02,OR01,13,0,0
5/3/18,OR,03,OR05,13,0,0
5/3/18,OR,04,OR08,13,0,0
5/3/18,CF,01,CF06,13,0,0
5/3/18,CF,02,CF04,13,0,0
5/3/18,CF,03,CF05,13,0,0
5/3/18,CF,04,CF03,13,0,0
5/16/18,OR,01,OR02,13,0,0
5/16/18,OR,02,OR01,13,0,0
5/16/18,OR,03,OR05,13,0,0
5/16/18,OR,04,OR08,13,0,0
5/16/18,CF,01,CF03,13,0,0
5/16/18,CF,02,CF06,13,0,0
5/16/18,CF,03,CF04,13,0,0
5/16/18,CF,04,CF05,13,0,0
6/1/18,OR,01,OR02,16,0,0
6/1/18,OR,02,OR01,16,0,0
6/1/18,OR,03,OR05,16,1,0.0625
6/1/18,OR,04,OR08,16,0,0
6/1/18,CF,01,CF03,16,0,0
6/1/18,CF,02,CF06,16,0,0
6/1/18,CF,03,CF04,16,0,0
6/1/18,CF,04,CF05,16,0,0
6/12/18,OR,01,OR02,27,1,0.037037037
6/12/18,OR,02,OR01,27,0,0
6/12/18,OR,03,OR05,27,0,0
6/12/18,OR,04,OR08,27,0,0
6/12/18,CF,01,CF03,27,0,0
6/12/18,CF,02,CF06,27,1,0.037037037
6/12/18,CF,03,CF04,27,0,0
6/12/18,CF,04,CF05,27,0,0
6/29/18,OR,01,OR02,17,4,0.235294118
6/29/18,OR,02,OR01,17,8,0.470588235
6/29/18,OR,03,OR05,17,6,0.352941176
6/29/18,OR,04,OR08,17,2,0.117647059
6/29/18,CF,01,CF03,17,4,0.235294118
6/29/18,CF,02,CF06,17,1,0.058823529
6/29/18,CF,03,CF04,17,0,0
6/29/18,CF,04,CF05,17,2,0.117647059
7/17/18,OR,01,OR02,18,0,0
7/17/18,OR,02,OR01,18,0,0
7/17/18,OR,03,OR05,18,0,0
7/17/18,OR,04,OR08,18,0,0
7/17/18,CF,01,CF03,18,0,0
7/17/18,CF,02,CF06,18,0,0
7/17/18,CF,03,CF04,18,0,0
7/17/18,CF,04,CF05,18,0,0
7/31/18,OR,01,OR02,14,0,0
7/31/18,OR,02,OR01,14,0,0
7/31/18,OR,03,OR05,14,0,0
7/31/18,OR,04,OR08,14,0,0
7/31/18,CF,01,CF03,14,0,0
7/31/18,CF,02,CF06,14,0,0
7/31/18,CF,03,CF04,14,0,0
7/31/18,CF,04,CF05,14,0,0
8/13/18,OR,01,OR02,13,0,0
8/13/18,OR,02,OR01,13,0,0
8/13/18,OR,03,OR05,13,0,0
8/13/18,OR,04,OR08,13,0,0
8/13/18,CF,01,CF03,13,0,0
8/13/18,CF,02,CF06,13,0,0
8/13/18,CF,03,CF04,13,0,0
8/13/18,CF,04,CF05,13,0,0
8/31/18,OR,01,OR02,18,0,0
8/31/18,OR,02,OR01,18,0,0
8/31/18,OR,03,OR05,18,0,0
8/31/18,OR,04,OR08,18,0,0
8/31/18,CF,01,CF03,18,0,0
8/31/18,CF,02,CF06,18,0,0
8/31/18,CF,03,CF04,18,0,0
8/31/18,CF,04,CF05,18,0,0
9/13/18,OR,01,OR02,13,0,0
9/13/18,OR,02,OR01,13,0,0
9/13/18,OR,03,OR05,13,0,0
9/13/18,OR,04,OR08,13,0,0
9/13/18,CF,01,CF03,13,0,0
9/13/18,CF,02,CF06,13,0,0
9/13/18,CF,03,CF04,13,0,0
9/13/18,CF,04,CF05,13,0,0
5/10/19,OR,01,OR02,18,0,0
5/10/19,OR,02,OR01,18,0,0
5/10/19,OR,03,OR05,18,0,0
5/10/19,OR,04,OR07,18,0,0
5/10/19,CF,01,CF03,18,0,0
5/10/19,CF,02,CF06,18,0,0
5/10/19,CF,03,CF04,18,0,0
5/10/19,CF,04,CF05,18,0,0
5/28/19,OR,01,OR02,18,0,0
5/28/19,OR,02,OR01,18,0,0
5/28/19,OR,03,OR05,18,0,0
5/28/19,OR,04,OR07,18,1,0.055555556
5/28/19,CF,01,CF03,18,0,0
5/28/19,CF,02,CF06,18,1,0.055555556
5/28/19,CF,03,CF04,18,1,0.055555556
5/28/19,CF,04,CF05,18,1,0.055555556
6/6/19,OR,01,OR02,9,0,0
6/6/19,OR,02,OR01,9,0,0
6/6/19,OR,03,OR05,9,0,0
6/6/19,OR,04,OR07,9,2,0.222222222
6/6/19,CF,01,CF03,9,3,0.333333333
6/6/19,CF,02,CF06,9,1,0.111111111
6/6/19,CF,03,CF04,9,0,0
6/6/19,CF,04,CF05,9,0,0
6/17/19,OR,01,OR02,11,0,0
6/17/19,OR,02,OR01,11,1,0.090909091
6/17/19,OR,03,OR05,11,0,0
6/17/19,OR,04,OR07,11,0,0
6/17/19,CF,01,CF03,11,0,0
6/17/19,CF,02,CF06,11,0,0
6/17/19,CF,03,CF04,11,1,0.090909091
6/17/19,CF,04,CF05,11,0,0
7/5/19,OR,01,OR02,18,0,0
7/6/19,OR,02,OR01,18,0,0
7/7/19,OR,03,OR05,18,0,0
7/8/19,OR,04,OR07,18,0,0
7/9/19,CF,01,CF03,18,8,0.444444444
7/5/19,CF,02,CF06,18,0,0
7/6/19,CF,03,CF04,18,0,0
7/7/19,CF,04,CF05,18,1,0.055555556
7/19/19,OR,01,OR02,14,0,0
7/19/19,OR,02,OR01,14,0,0
7/19/19,OR,03,OR05,14,0,0
7/19/19,OR,04,OR07,14,1,0.071428571
7/19/19,CF,01,CF03,14,0,0
7/19/19,CF,02,CF06,14,0,0
7/19/19,CF,03,CF04,14,0,0
7/19/19,CF,04,CF05,14,0,0
7/30/19,OR,01,OR02,11,1,0.090909091
7/30/19,OR,02,OR01,11,0,0
7/30/19,OR,03,OR05,11,0,0
7/30/19,OR,04,OR07,11,0,0
7/30/19,CF,01,CF03,11,2,0.181818182
7/30/19,CF,02,CF06,11,1,0.090909091
7/30/19,CF,03,CF04,11,0,0
7/30/19,CF,04,CF05,11,2,0.181818182
8/16/19,OR,01,OR02,17,0,0
8/16/19,OR,02,OR01,17,0,0
8/16/19,OR,03,OR05,17,0,0
8/16/19,OR,04,OR07,17,0,0
8/16/19,CF,01,CF03,17,0,0
8/16/19,CF,02,CF06,17,0,0
8/16/19,CF,03,CF04,17,0,0
8/16/19,CF,04,CF05,17,0,0
8/29/19,OR,01,OR02,13,0,0
8/29/19,OR,02,OR01,13,0,0
8/29/19,OR,03,OR05,13,0,0
8/29/19,OR,04,OR07,13,0,0
8/29/19,CF,01,CF03,13,0,0
8/29/19,CF,02,CF06,13,0,0
8/29/19,CF,03,CF04,13,0,0
8/29/19,CF,04,CF05,13,0,0
9/12/19,OR,01,OR02,14,0,0
9/12/19,OR,02,OR01,14,0,0
9/12/19,OR,03,OR05,14,0,0
9/12/19,OR,04,OR07,14,0,0
9/12/19,CF,01,CF03,14,0,0
9/12/19,CF,02,CF06,14,0,0
9/12/19,CF,03,CF04,14,0,0
9/12/19,CF,04,CF05,14,0,0
6/1/21,OR,01,OR02,13,0,0
6/1/21,OR,02,OR01,13,0,0
6/1/21,OR,03,OR05,13,0,0
6/1/21,OR,04,OR07,13,0,0
6/1/21,CF,01,CF03,13,0,0
6/1/21,CF,02,CF06,13,0,0
6/1/21,CF,03,CF04,13,0,0
6/1/21,CF,04,CF05,13,0,0
6/10/21,OR,01,OR02,9,0,0
6/10/21,OR,02,OR01,9,0,0
6/10/21,OR,03,OR05,9,1,0.111111111
6/10/21,OR,04,OR07,9,0,0
6/10/21,CF,01,CF03,9,0,0
6/10/21,CF,02,CF06,9,0,0
6/10/21,CF,03,CF04,9,0,0
6/10/21,CF,04,CF05,9,0,0
6/23/21,OR,01,OR02,13,0,0
6/23/21,OR,02,OR01,13,2,0.153846154
6/23/21,OR,03,OR05,13,4,0.307692308
6/23/21,OR,04,OR07,13,0,0
6/23/21,CF,01,CF03,13,0,0
6/23/21,CF,02,CF06,13,3,0.230769231
6/23/21,CF,03,CF04,13,0,0
6/23/21,CF,04,CF05,13,0,0
7/7/21,OR,01,OR02,14,15,1.071428571
7/7/21,OR,02,OR01,14,12,0.857142857
7/7/21,OR,03,OR05,14,10,0.714285714
7/7/21,OR,04,OR07,14,2,0.142857143
7/7/21,CF,01,CF03,14,12,0.857142857
