"","Yr","SpawnBio","exp_recr","with_regime","bias_adjusted","pred_recr","dev","biasadjuster","era","mature_bio","mature_num","raw_dev"
"3700",1922,14.9813,35222.2,35222.2,35222.2,35222.2,NA,NA,"Fixed",NA,NA,NA
"3701",1923,14.981,35222.1,35222.1,35222.1,35222.1,NA,NA,"Fixed",NA,NA,NA
"3702",1924,14.9811,35222.2,35222.2,35222.2,35222.2,NA,NA,"Fixed",NA,NA,NA
"3703",1925,14.9808,35222.1,35222.1,35222.1,35222.1,NA,NA,"Fixed",NA,NA,NA
"3704",1926,14.9791,35221.7,35221.7,35221.7,35221.7,NA,NA,"Fixed",NA,NA,NA
"3705",1927,14.9774,35221.3,35221.3,35221.3,35221.3,NA,NA,"Fixed",NA,NA,NA
"3706",1928,14.9739,35220.5,35220.5,35220.5,35220.5,NA,NA,"Fixed",NA,NA,NA
"3707",1929,14.9711,35219.9,35219.9,35219.9,35219.9,NA,NA,"Fixed",NA,NA,NA
"3708",1930,14.9671,35219,35219,35219,35219,NA,NA,"Fixed",NA,NA,NA
"3709",1931,14.9612,35217.6,35217.6,35217.6,35217.6,NA,NA,"Fixed",NA,NA,NA
"3710",1932,14.9544,35216.1,35216.1,35216.1,35301.5,0.00242437,0,"Early",41918.8,26803,0.00242437
"3711",1933,14.951,35215.3,35215.3,35215.3,35301.5,0.00244615,0,"Early",41910.2,26799,0.00244615
"3712",1934,14.9485,35214.7,35214.7,35214.7,35298.5,0.00237601,0,"Early",41904,26796.3,0.00237601
"3713",1935,14.9465,35214.2,35214.2,35214.2,35291.1,0.00217977,0,"Early",41899.3,26794.6,0.00217977
"3714",1936,14.9416,35213.1,35213.1,35213.1,35278,0.00184065,0,"Early",41886.7,26788.4,0.00184065
"3715",1937,14.9372,35212.1,35212.1,35212.1,35260.9,0.00138516,0,"Early",41875.3,26783.1,0.00138516
"3716",1938,14.9323,35211,35211,35211,35243.1,0.000909796,0,"Early",41863.1,26777.5,0.000909796
"3717",1939,14.9261,35209.6,35209.6,35209.6,35229.6,0.000568151,0,"Early",41847.3,26770.2,0.000568151
"3718",1940,14.9189,35207.9,35207.9,35207.9,35228.1,0.000571917,0,"Early",41829.2,26762,0.000571917
"3719",1941,14.9008,35203.8,35203.8,35203.8,35249.1,0.00128592,0,"Early",41782,26737.4,0.00128592
"3720",1942,14.876,35198.1,35198.1,35198.1,35313,0.00326009,0,"Early",41717.1,26703.4,0.00326009
"3721",1943,14.8332,35188.2,35188.2,35188.2,35437.6,0.0070642,0,"Early",41603.9,26642.4,0.0070642
"3722",1944,14.6276,35139.8,35139.8,35139.8,35597.3,0.0129333,0,"Early",41050.5,26332.3,0.0129333
"3723",1945,14.263,35051.1,35051.1,35051.1,35773.8,0.0204081,0,"Early",40071.2,25787.1,0.0204081
"3724",1946,13.5827,34874.3,34874.3,34874.3,35891.9,0.0287611,0,"Early",38244.7,24771.8,0.0287611
"3725",1947,13.2338,34777.4,34777.4,34777.4,36109.8,0.0375948,0,"Early",37333.4,24301,0.0375948
"3726",1948,13.1318,34748.2,34748.2,34748.2,36337.8,0.0447294,0,"Early",37099.9,24226.7,0.0447294
"3727",1949,13.069,34730.1,34730.1,34730.1,36297.9,0.0441531,0,"Early",36972.7,24210.4,0.0441531
"3728",1950,13.0681,34729.8,34729.8,34729.8,35724.7,0.0282446,0,"Early",37010.7,24283.5,0.0282446
"3729",1951,13.0451,34723.1,34723.1,34668.9,34430.1,-0.00691274,0.0125057,"Early",36983.5,24310.7,-0.00691274
"3730",1952,13.0252,34717.3,34717.3,34521,32670.6,-0.0550911,0.0454154,"Early",36960.2,24332.8,-0.0550911
"3731",1953,12.962,34698.8,34698.8,34361.1,31038.6,-0.101694,0.0783251,"Early",36815,24276.9,-0.101694
"3732",1954,13.0194,34715.6,34715.6,34236.8,30011.4,-0.131723,0.111235,"Early",36997.2,24404.4,-0.131723
"3733",1955,13.0395,34721.5,34721.5,34102.2,29518.2,-0.144355,0.144144,"Early",37071.8,24456.5,-0.144355
"3734",1956,13.0657,34729.1,34729.1,33969.8,28714.7,-0.168065,0.177054,"Early",37157.1,24500.7,-0.168065
"3735",1957,13.0643,34728.7,34728.7,33830.1,27324.1,-0.213584,0.209964,"Early",37157.7,24476.8,-0.213584
"3736",1958,13.0563,34726.4,34726.4,33689.2,26506.9,-0.23977,0.242873,"Early",37128.7,24412.9,-0.23977
"3737",1959,13.0323,34719.4,34719.4,33544.3,28217.2,-0.172935,0.275783,"Early",37039.8,24287.8,-0.172935
"3738",1960,12.9858,34705.7,34705.7,33393.6,35038.9,0.0480951,0.308693,"Early",36870.7,24092.1,0.0480951
"3739",1961,12.8619,34669,34669,33221.5,45526.2,0.315091,0.341603,"Early",36471.5,23749.9,0.315091
"3740",1962,12.7238,34627.4,34627.4,33045.5,41454.1,0.226702,0.374512,"Main",36021.5,23385.1,0.226702
"3741",1963,12.46,34545.5,34545.5,32832.2,29128,-0.119711,0.407422,"Main",35223.1,22831.1,-0.119711
"3742",1964,12.2358,34473.5,34473.5,32629.4,23740.2,-0.318045,0.440332,"Main",34542,22367,-0.318045
"3743",1965,12.0442,34410.1,34410.1,32435.9,23455.6,-0.324157,0.473241,"Main",33966.8,21997.1,-0.324157
"3744",1966,11.8556,34346,34346,32242.7,24491.2,-0.274977,0.506151,"Main",33426.5,21690.1,-0.274977
"3745",1967,11.2663,34133.5,34133.5,31911.9,26603.8,-0.181922,0.539061,"Main",31833.4,20831,-0.181922
"3746",1968,10.8304,33963.6,33963.6,31622.8,36679.2,0.148332,0.57197,"Main",30711.8,20301.5,0.148332
"3747",1969,10.5111,33831.4,33831.4,31370.6,30484.3,-0.0286597,0.60488,"Main",29951.7,20017.8,-0.0286597
"3748",1970,10.152,33674.3,33674.3,31096.8,22861.6,-0.307649,0.63779,"Main",29094.9,19651,-0.307649
"3749",1971,10.108,33654.3,33654.3,30951,17173.1,-0.589059,0.670699,"Main",29072.2,19694.1,-0.589059
"3750",1972,10.1672,33681.1,33681.1,30848.6,22293.7,-0.324787,0.703609,"Main",29266.8,19759.4,-0.324787
"3751",1973,10.0275,33617.6,33617.6,30664.2,27748.4,-0.0999148,0.736519,"Main",28839.6,19380,-0.0999148
"3752",1974,9.74321,33483.4,33483.4,30416.6,52932.7,0.554035,0.769428,"Main",27978,18736.4,0.554035
"3753",1975,9.5515,33389.2,33389.2,30206.6,40465.9,0.292401,0.802338,"Main",27383.2,18319.5,0.292401
"3754",1976,9.49444,33360.5,33360.5,30169.5,34558.1,0.135811,0.8053,"Main",27189.3,18188.7,0.135811
"3755",1977,9.04461,33123.8,33123.8,29955.4,39284,0.271107,0.8053,"Main",25939.2,17471.2,0.271107
"3756",1978,8.36934,32728.8,32728.8,29598.2,28053.5,-0.0535991,0.8053,"Main",24085.9,16429.5,-0.0535991
"3757",1979,7.35186,32022.8,32022.8,28959.8,16773.5,-0.546104,0.8053,"Main",21299.1,14856.1,-0.546104
"3758",1980,6.52777,31323.5,31323.5,28327.3,20696,-0.313884,0.8053,"Main",19077,13668.6,-0.313884
"3759",1981,5.79182,30569.5,30569.5,27645.4,28430.3,0.0279939,0.8053,"Main",17159.5,12748.3,0.0279939
"3760",1982,4.92752,29471.1,29471.1,26652.1,15762.5,-0.525237,0.8053,"Main",14938.8,11692.9,-0.525237
"3761",1983,4.19877,28296.2,28296.2,25589.6,28757.5,0.116713,0.8053,"Main",13115.2,10829.5,0.116713
"3762",1984,3.65249,27206.9,27206.9,24604.5,40650.2,0.502075,0.8053,"Main",11724,10074.8,0.502075
"3763",1985,3.79958,27521.4,27521.4,24888.9,26180.9,0.0506099,0.8053,"Main",12248.3,10452.1,0.0506099
"3764",1986,4.16705,28238.5,28238.5,25537.4,29540.6,0.145623,0.8053,"Main",13331.2,11083.9,0.145623
"3765",1987,4.25687,28400.4,28400.4,25683.8,36807.8,0.359849,0.8053,"Main",13507.7,11020.9,0.359849
"3766",1988,4.24901,28386.4,28386.4,25671.2,21908,-0.158516,0.8053,"Main",13365.6,10761.4,-0.158516
"3767",1989,3.98371,27892.2,27892.2,25224.3,51859,0.720723,0.8053,"Main",12481.2,10065.1,0.720723
"3768",1990,3.8624,27650.6,27650.6,25005.8,52034.3,0.732796,0.8053,"Main",12084.7,9830.1,0.732796
"3769",1991,3.76988,27459.2,27459.2,24832.7,41999.7,0.525501,0.8053,"Main",11835,9788.16,0.525501
"3770",1992,3.77343,27466.7,27466.7,24839.4,26905.3,0.0798906,0.8053,"Main",11917.4,10021.2,0.0798906
"3771",1993,3.57421,27032.4,27032.4,24446.7,17750.6,-0.320076,0.8053,"Main",11429.5,9877.75,-0.320076
"3772",1994,3.55183,26981.6,26981.6,24400.7,30385.6,0.219357,0.8053,"Main",11454.4,10038.4,0.219357
"3773",1995,3.55517,26989.2,26989.2,24407.6,28927.8,0.169909,0.8053,"Main",11553.6,10245.2,0.169909
"3774",1996,3.64981,27201,27201,24599.1,16795.4,-0.381607,0.8053,"Main",11925.5,10626.8,-0.381607
"3775",1997,3.73581,27387.1,27387.1,24767.5,25612.8,0.0335619,0.8053,"Main",12271.4,10954.1,0.0335619
"3776",1998,4.31814,28508.1,28508.1,25781.2,40507,0.451831,0.8053,"Main",14095.6,12259,0.451831
"3777",1999,4.89842,29429.2,29429.2,26614.2,35459.2,0.286938,0.8053,"Main",15841.6,13382,0.286938
"3778",2000,5.40713,30113.5,30113.5,27233,56660.1,0.732639,0.8053,"Main",17284.6,14162.1,0.732639
"3779",2001,5.85577,30640.8,30640.8,27709.9,27500.3,-0.00759324,0.8053,"Main",18438.4,14647,-0.00759324
"3780",2002,6.36392,31167.5,31167.5,28186.2,14435.5,-0.669145,0.8053,"Main",19709.4,15170.1,-0.669145
"3781",2003,6.8566,31618.6,31618.6,28594.2,23401.8,-0.200392,0.8053,"Main",20921.3,15678.9,-0.200392
"3782",2004,7.35441,32024.8,32024.8,28961.5,30719.9,0.0589432,0.8053,"Main",22165.7,16274,0.0589432
"3783",2005,7.7573,32322.3,32322.3,29230.6,14939.9,-0.671182,0.8053,"Main",23175.4,16795.3,-0.671182
"3784",2006,8.08491,32546.2,32546.2,29433.1,47843.1,0.485808,0.8053,"Main",24027,17275.2,0.485808
"3785",2007,8.48687,32801.3,32801.3,29663.8,18674.7,-0.462757,0.8053,"Main",25144.4,17991.2,-0.462757
"3786",2008,8.94795,33070.3,33070.3,29907,68653.5,0.830978,0.8053,"Main",26451.4,18788.1,0.830978
"3787",2009,9.42761,33326.5,33326.5,30138.8,15017.7,-0.696581,0.8053,"Main",27785.6,19572.4,-0.696581
"3788",2010,9.85219,33535.6,33535.6,30327.8,45764.8,0.41145,0.8053,"Main",28894.2,20076.7,0.41145
"3789",2011,10.1637,33679.5,33679.5,30458,23944.1,-0.240628,0.8053,"Main",29610.4,20296.2,-0.240628
"3790",2012,10.2951,33738,33738,30510.9,31730.7,0.0392004,0.8053,"Main",29792.4,20190.7,0.0392004
"3791",2013,10.2897,33735.6,33735.6,30508.7,33143.4,0.0828306,0.8053,"Main",29629,19976.9,0.0828306
"3792",2014,10.256,33720.7,33720.7,30495.3,39805.3,0.266428,0.8053,"Main",29469.9,19891.9,0.266428
"3793",2015,10.2519,33718.9,33718.9,30493.6,22231.8,-0.315992,0.8053,"Main",29471.3,19997.7,-0.315992
"3794",2016,10.2372,33712.4,33712.4,30764.2,31045.2,0.00909278,0.732987,"Main",29505.8,20153.6,0.00909278
"3795",2017,10.3718,33771.6,33771.6,31136,21201.9,-0.384274,0.650814,"Main",29973.6,20552.4,-0.384274
"3796",2018,10.3344,33755.2,33755.2,31441.9,19994.6,-0.45268,0.56864,"Main",29941.7,20576.9,-0.45268
"3797",2019,10.2474,33716.9,33716.9,31730,28529.9,-0.106313,0.486467,"Late",29723.4,20408.7,-0.106313
"3798",2020,10.1118,33656.1,33656.1,31999.4,25568.5,-0.224357,0.404293,"Late",29329.1,20093,-0.224357
"3799",2021,9.95053,33581.9,33581.9,32258.1,34413.4,0.064675,0.32212,"Late",28842.5,19703.4,0.064675
"3800",2022,9.87636,33547.1,33547.1,32557,29122.5,-0.11148,0.239947,"Late",28592.5,19463,-0.11148
"3801",2023,9.759,33491,33491,32837.8,42601,0.260297,0.157773,"Late",28213.8,19133.6,0.260297
"3802",2024,9.57842,33402.6,33402.6,33088.8,32276.8,-0.0248474,0.0755996,"Late",27645.8,18693.8,-0.0248474
"3803",2025,9.44592,33335.9,33335.9,33335.9,33335.9,0,0,"Fore",27197.2,18321.2,0
"3804",2026,9.07161,33138.5,33138.5,33138.5,33138.5,0,0,"Fore",26080.4,17584.4,0
"3805",2027,8.66594,32908.6,32908.6,32908.6,32908.6,0,0,"Fore",24910.2,16887.5,0
"3806",2028,8.18584,32612.2,32612.2,32612.2,32612.2,-1.11022e-16,0,"Fore",23587.7,16185.6,0
"3807",2029,7.78912,32344.7,32344.7,32344.7,32344.7,0,0,"Fore",22559.5,15737.6,0
"3808",2030,7.49833,32134,32134,32134,32134,0,0,"Fore",21874.4,15538.3,0
"3809",2031,7.31823,31996.8,31996.8,31996.8,31996.8,-1.11022e-16,0,"Fore",21520.9,15539.9,0
"3810",2032,7.23645,31932.6,31932.6,31932.6,31932.6,0,0,"Fore",21437,15669.6,0
"3811",2033,7.22549,31923.9,31923.9,31923.9,31923.9,0,0,"Fore",21523.2,15845.2,0
"3812",2034,7.25216,31945,31945,31945,31945,0,0,"Fore",21675.1,16000.8,0
"3813",2035,7.28926,31974.2,31974.2,31974.2,31974.2,0,0,"Fore",21819.5,16106.8,0
"3814",2036,7.32164,31999.4,31999.4,31999.4,31999.4,0,0,"Fore",21924.8,16163.2,0
